Sentence,Subject_ID,Condition_ID,correctness
A young woman sitting on a curb next to a fire hydrant writing on a notepad.,2f19f9ae48a67f4e2b28506beb1da0d1,no,1
Two giraffes standing on a dirt expanse with trees in background.,2f19f9ae48a67f4e2b28506beb1da0d1,no,1
A girl in an orange sweater is sitting on a skateboard.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
The bench is in a shady area surrounded by plants.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
An old man sitting on a bench in a public park.,2f19f9ae48a67f4e2b28506beb1da0d1,no,1
Plates of food and two glasses of red wine are on a table.,2f19f9ae48a67f4e2b28506beb1da0d1,no,1
People watch from a large boat as a smaller boat is lowered into the ocean.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A man walking with an umbrella near a railing above a river.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A city skyline is shown with a subway train coming around the bend.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
Some control buttons on an orange and silver electronic device.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
A bird sits atop a wooden post and watches its surroundings.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
An outdoor market has a wide variety of fruit to choose from.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A refrigerator mostly empty with only a few bottles of water inside.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
A group of elephants being cleaned by their handlers in a river.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A huge dragon kite flown with a steeple in the background.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
"Two ceramic cups, one with a bird and the other with a fox.",2f19f9ae48a67f4e2b28506beb1da0d1,no,1
A person holding an object in front of a panda bear.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
A tennis player makes a quick shuffle to return the ball.,2f19f9ae48a67f4e2b28506beb1da0d1,no,0
"A dried black flower in a long, tall black and white vase.",2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A heavily lit-up building in front of a river.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
A woman in a white shirt standing in front of a fence smiling.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",2f19f9ae48a67f4e2b28506beb1da0d1,no,1
A baby elephant walking through a shallow pool of flowing water.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
People are on the beach flying kites that look like arches in the sky.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
A tray topped with a chicken sandwich next to a cup of fries.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,0
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",2f19f9ae48a67f4e2b28506beb1da0d1,no,0
Several containers of food and beverages on a wooden table outdoors.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,0
A woman and man sit under a large blue umbrella on a grassy lot.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A stop sign located at the intersection of East Village and Woodfield Rd.,2f19f9ae48a67f4e2b28506beb1da0d1,wrong,1
A man holding a baby while standing in front of a mirror.,2f19f9ae48a67f4e2b28506beb1da0d1,no,1
A giraffe standing in front of a grassy plain and blue sky.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A teddy bear is sitting on the rail of a wire fence.,2f19f9ae48a67f4e2b28506beb1da0d1,no,1
A toddler is sitting on a blanket outdoors eating an apple.,2f19f9ae48a67f4e2b28506beb1da0d1,no,1
