"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""0"",""10"",""10"",""10"",""1"",""3"",""10"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"Two ceramic cups, one with a bird and the other with a fox.","[""1"",""1"",""10"",""1"",""1"",""0"",""10"",""1"",""1"",""1"",""1"",""1"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""1"",""10"",""0"",""10"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""0"",""10"",""0"",""0"",""10"",""0"",""0"",""0"",""0"",""0"",""0"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"A toddler is sitting on a blanket outdoors eating an apple.","[""0"",""10"",""0"",""10"",""0"",""0"",""10"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""0"",""0"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""0"",""10"",""10"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"Two giraffes standing on a dirt expanse with trees in background.","[""0"",""10"",""0"",""0"",""0"",""10"",""10"",""0"",""10"",""0"",""0""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"A teddy bear is sitting on the rail of a wire fence.","[""0"",""10"",""10"",""0"",""10"",""0"",""0"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"A tennis player makes a quick shuffle to return the ball.","[""0"",""10"",""10"",""0"",""1"",""0"",""10"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"Plates of food and two glasses of red wine are on a table.","[""10"",""0"",""10"",""0"",""0"",""10"",""0"",""10"",""10"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""0"",""10"",""10"",""10"",""0"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"A man holding a baby while standing in front of a mirror.","[""0"",""10"",""10"",""0"",""10"",""0"",""0"",""0"",""0"",""0"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
"A cat sitting on the hood of a parked black car in a garage.","[""0"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""10"",""10"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","61451e21a303bee08cbb86ea"
