"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","5a973481f05361000171dd86"
"Two ceramic cups, one with a bird and the other with a fox.","[""10"",""9"",""10"",""9"",""8"",""8"",""10"",""10"",""10"",""10"",""10"",""8"",""10""]","html-vertical-slider-response","5a973481f05361000171dd86"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""10"",""10"",""10"",""10"",""10"",""9"",""10"",""10"",""10"",""9"",""10"",""10"",""9"",""10"",""6"",""9"",""7"",""9"",""10"",""10"",""10"",""9"",""10"",""10"",""9"",""9"",""10"",""9""]","html-vertical-slider-response","5a973481f05361000171dd86"
"A toddler is sitting on a blanket outdoors eating an apple.","[""9"",""-1"",""10"",""10"",""9"",""10"",""9"",""9"",""10"",""10"",""9""]","html-vertical-slider-response","5a973481f05361000171dd86"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""10"",""-6"",""2"",""9"",""9"",""8"",""3"",""3"",""10"",""10"",""7"",""8"",""2"",""9"",""7"",""7""]","html-vertical-slider-response","5a973481f05361000171dd86"
"Two giraffes standing on a dirt expanse with trees in background.","[""7"",""8"",""9"",""5"",""8"",""-3"",""-2"",""5"",""9"",""7"",""8""]","html-vertical-slider-response","5a973481f05361000171dd86"
"A teddy bear is sitting on the rail of a wire fence.","[""9"",""7"",""8"",""9"",""5"",""6"",""8"",""-4"",""6"",""6"",""6"",""-3""]","html-vertical-slider-response","5a973481f05361000171dd86"
"A tennis player makes a quick shuffle to return the ball.","[""7"",""9"",""8"",""8"",""7"",""6"",""6"",""8"",""3"",""5"",""2""]","html-vertical-slider-response","5a973481f05361000171dd86"
"Plates of food and two glasses of red wine are on a table.","[""7"",""6"",""2"",""6"",""8"",""9"",""10"",""8"",""10"",""10"",""9"",""9"",""8""]","html-vertical-slider-response","5a973481f05361000171dd86"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""6"",""9"",""9"",""8"",""8"",""4"",""3"",""4"",""6""]","html-vertical-slider-response","5a973481f05361000171dd86"
"A man holding a baby while standing in front of a mirror.","[""6"",""6"",""7"",""7"",""6"",""6"",""6"",""7"",""6"",""6"",""8"",""8""]","html-vertical-slider-response","5a973481f05361000171dd86"
"A cat sitting on the hood of a parked black car in a garage.","[""7"",""9"",""9"",""7"",""7"",""9"",""7"",""8"",""8"",""9"",""8"",""9"",""3"",""6""]","html-vertical-slider-response","5a973481f05361000171dd86"
