"stimulus","response","trial_type","subject_id"
"A tennis player swinging a racket at a public tennis match.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"The antique bed has elaborate wood decoration on the frame.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A plate of cupcakes on a napkin with spoons and drink glasses.","[""10"",""10"",""10"",""2"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A woman standing next to a young man near a pile of fruit.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"French bread on a plate with eggs, bacon and banana slices atop the bread.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A person holding a book with a bird sitting on the book.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A giraffe is peeking around the side of a wall at the camera.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A woman holding an umbrella sitting on a blanket next to two dogs.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A white cake covered in flowers and white frosting.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A man in shorts is taking a picture next to a red light.","[""10"",""10"",""10"",""10"",""-10"",""-10"",""-10"",""-10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"A desk with two computer monitors, a laptop computer, keyboard and set of headphones.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
"An airplane flies high above in the sky with telephone lines in the picture as well.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","62d0880f5ba6d972d1bfc63c"
