"stimulus","response","trial_type","subject_id"
"A huge dragon kite flown with a steeple in the background.","[""9"",""9"",""9"",""9"",""8"",""9"",""9"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"The bench is in a shady area surrounded by plants.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A dried black flower in a long, tall black and white vase.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A man walking with an umbrella near a railing above a river.","[""10"",""10"",""8"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A giraffe standing in front of a grassy plain and blue sky.","[""10"",""10"",""10"",""10"",""7"",""10"",""10"",""10"",""10"",""10"",""-5"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"People watch from a large boat as a smaller boat is lowered into the ocean.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""8"",""10"",""9"",""8"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A girl in an orange sweater is sitting on a skateboard.","[""10"",""8"",""10"",""10"",""10"",""6"",""10"",""9"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A woman in a white shirt standing in front of a fence smiling.","[""10"",""10"",""10"",""10"",""10"",""9"",""8"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A group of elephants being cleaned by their handlers in a river.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""8"",""10"",""10"",""9""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"An outdoor market has a wide variety of fruit to choose from.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A woman and man sit under a large blue umbrella on a grassy lot.","[""10"",""9"",""10"",""9"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
"A vandalized stop sign in the dark with a sky background.","[""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""10"",""8"",""10""]","html-vertical-slider-response","63d5cbb3c8e15d4cd611bee1"
