"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""0"",""6"",""10"",""10"",""0"",""0"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"Two ceramic cups, one with a bird and the other with a fox.","[""10"",""10"",""10"",""3"",""1"",""0"",""10"",""0"",""0"",""0"",""0"",""2"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""10"",""10"",""0"",""5"",""0"",""1"",""4"",""10"",""10"",""1"",""10"",""0"",""10"",""0"",""10"",""0"",""1"",""10"",""0"",""0"",""1"",""7"",""1"",""6"",""10"",""10"",""3"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"A toddler is sitting on a blanket outdoors eating an apple.","[""0"",""10"",""0"",""10"",""0"",""0"",""10"",""10"",""10"",""1"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""0"",""10"",""10"",""10"",""1"",""1"",""10"",""2"",""5"",""4"",""10"",""10"",""10"",""3"",""3"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"Two giraffes standing on a dirt expanse with trees in background.","[""10"",""10"",""10"",""0"",""0"",""10"",""10"",""1"",""10"",""1"",""7""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"A teddy bear is sitting on the rail of a wire fence.","[""0"",""9"",""10"",""0"",""10"",""0"",""0"",""8"",""0"",""1"",""9"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"A tennis player makes a quick shuffle to return the ball.","[""0"",""10"",""10"",""-1"",""0"",""3"",""6"",""0"",""4"",""1"",""-10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"Plates of food and two glasses of red wine are on a table.","[""10"",""-1"",""10"",""1"",""10"",""10"",""1"",""10"",""10"",""1"",""4"",""0"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""0"",""-4"",""10"",""10"",""0"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"A man holding a baby while standing in front of a mirror.","[""-2"",""10"",""10"",""0"",""10"",""0"",""4"",""0"",""5"",""0"",""0"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
"A cat sitting on the hood of a parked black car in a garage.","[""0"",""10"",""10"",""1"",""1"",""10"",""0"",""0"",""10"",""10"",""10"",""0"",""1"",""10""]","html-vertical-slider-response","63d13b44f511eff0aef876f2"
