Sentence,Word,Condition_ID,gpt2_surp,POS,Frequency,Length
An old man sitting on a bench in a public park.,old,wrong,10.728750228881836,Open,10.34354730540879,3
An old man sitting on a bench in a public park.,man,wrong,3.514711856842041,Open,11.452463954850357,3
An old man sitting on a bench in a public park.,sitting,wrong,6.41612434387207,Open,8.479283618343016,7
An old man sitting on a bench in a public park.,on,wrong,1.9295581579208374,Closed,12.779146043675691,2
An old man sitting on a bench in a public park.,a,wrong,1.681009292602539,Closed,13.855864282863422,1
An old man sitting on a bench in a public park.,bench,wrong,1.8306987285614014,Open,6.20050917404269,5
An old man sitting on a bench in a public park.,in,wrong,2.4917328357696533,Closed,13.119246525062723,2
An old man sitting on a bench in a public park.,a,wrong,2.777559995651245,Closed,13.855864282863422,1
An old man sitting on a bench in a public park.,public,wrong,8.192138671875,Open,8.195609567288775,6
An old man sitting on a bench in a public park.,park.,wrong,6.074724316596985,Open,8.210124405164267,4
"Two ceramic cups, one with a bird and the other with a fox.",ceramic,wrong,18.131906509399414,Open,4.127134385045092,7
"Two ceramic cups, one with a bird and the other with a fox.","cups,",wrong,9.679203271865845,Open,5.786897381366708,4
"Two ceramic cups, one with a bird and the other with a fox.",one,wrong,5.44577169418335,Closed,11.96198631719604,3
"Two ceramic cups, one with a bird and the other with a fox.",with,wrong,4.165848255157471,Closed,12.458639067517554,4
"Two ceramic cups, one with a bird and the other with a fox.",a,wrong,1.651254415512085,Closed,13.855864282863422,1
"Two ceramic cups, one with a bird and the other with a fox.",bird,wrong,12.172406196594238,Open,7.748460023899697,4
"Two ceramic cups, one with a bird and the other with a fox.",and,wrong,5.884742736816406,Closed,13.433927978319357,3
"Two ceramic cups, one with a bird and the other with a fox.",the,wrong,2.9354491233825684,Closed,14.22224685776581,3
"Two ceramic cups, one with a bird and the other with a fox.",other,wrong,0.6305814981460571,Open,10.532229536403737,5
"Two ceramic cups, one with a bird and the other with a fox.",with,wrong,1.0983471870422363,Closed,12.458639067517554,4
"Two ceramic cups, one with a bird and the other with a fox.",a,wrong,0.5979921221733093,Closed,13.855864282863422,1
"Two ceramic cups, one with a bird and the other with a fox.",fox.,wrong,10.61457645893097,Open,7.004881989712859,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",men,wrong,10.453082084655762,Open,9.852773037991627,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",are,wrong,4.5736165046691895,Closed,12.490017744185046,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",posing,wrong,12.612530708312988,Open,5.10594547390058,6
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",for,wrong,1.310906171798706,Closed,12.770391641736165,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",a,wrong,1.3433830738067627,Closed,13.855864282863422,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","photo,",wrong,6.260681629180908,Open,7.060476365999801,5
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",one,wrong,4.858356952667236,Closed,11.96198631719604,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",man,wrong,7.77086877822876,Open,11.452463954850357,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",is,wrong,2.797194480895996,Closed,13.038248891280736,2
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",holding,wrong,2.628021001815796,Open,8.169053149927343,7
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",a,wrong,0.5883784294128418,Closed,13.855864282863422,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",slice,wrong,14.360105514526367,Open,6.075346031088684,5
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",of,wrong,0.05504423379898071,Closed,13.288621606997307,2
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",pizza,wrong,1.969918131828308,Open,7.443663683115591,5
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",on,wrong,6.54144287109375,Closed,12.779146043675691,2
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",a,wrong,3.009173631668091,Closed,13.855864282863422,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","plate,",wrong,7.464662551879883,Open,7.176254532017144,5
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",and,wrong,1.286060094833374,Closed,13.433927978319357,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",they,wrong,7.89188289642334,Closed,12.251284988351722,4
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",are,wrong,1.7672699689865112,Closed,12.490017744185046,3
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",surrounded,wrong,7.029737949371338,Open,6.517671272912275,10
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",by,wrong,0.04282979294657707,Closed,11.132601649268397,2
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",other,wrong,5.299508094787598,Open,10.532229536403737,5
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",people,wrong,3.0709264278411865,Open,10.937596874990138,6
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",sitting,wrong,7.2496442794799805,Open,8.479283618343016,7
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",at,wrong,4.357805252075195,Closed,12.00806063485357,2
