"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""0"",""8"",""10"",""10"",""10"",""0"",""7"",""-8"",""0"",""6"",""8""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"Two ceramic cups, one with a bird and the other with a fox.","[""9"",""10"",""10"",""-3"",""0"",""0"",""6"",""1"",""0"",""2"",""0"",""0"",""3""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""8"",""10"",""2"",""7"",""1"",""1"",""8"",""1"",""8"",""4"",""8"",""2"",""9"",""2"",""4"",""0"",""0"",""7"",""2"",""8"",""2"",""4"",""0"",""-1"",""9"",""9"",""0"",""5""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"A toddler is sitting on a blanket outdoors eating an apple.","[""1"",""10"",""2"",""6"",""3"",""2"",""6"",""10"",""5"",""0"",""6""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""2"",""2"",""10"",""10"",""3"",""1"",""8"",""2"",""2"",""2"",""-9"",""9"",""-8"",""0"",""0"",""8""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"Two giraffes standing on a dirt expanse with trees in background.","[""9"",""10"",""9"",""2"",""2"",""1"",""5"",""1"",""8"",""2"",""5""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"A teddy bear is sitting on the rail of a wire fence.","[""3"",""6"",""3"",""0"",""3"",""1"",""1"",""2"",""0"",""0"",""6"",""4""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"A tennis player makes a quick shuffle to return the ball.","[""3"",""8"",""10"",""2"",""1"",""-2"",""4"",""0"",""-6"",""0"",""-4""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"Plates of food and two glasses of red wine are on a table.","[""8"",""2"",""9"",""0"",""6"",""10"",""0"",""4"",""10"",""1"",""4"",""0"",""8""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""1"",""-8"",""7"",""9"",""0"",""8"",""9"",""2"",""9""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"A man holding a baby while standing in front of a mirror.","[""0"",""9"",""7"",""1"",""10"",""1"",""7"",""0"",""3"",""0"",""0"",""-4""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
"A cat sitting on the hood of a parked black car in a garage.","[""1"",""10"",""-9"",""0"",""0"",""9"",""2"",""2"",""4"",""10"",""10"",""2"",""1"",""7""]","html-vertical-slider-response","5fb96b9798cd084465b0bf36"
