"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""0"",""10"",""10"",""10"",""0"",""0"",""10"",""0"",""1"",""3"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"Two ceramic cups, one with a bird and the other with a fox.","[""10"",""10"",""10"",""0"",""0"",""0"",""10"",""0"",""0"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""10"",""10"",""0"",""10"",""0"",""0"",""10"",""0"",""10"",""0"",""10"",""0"",""10"",""0"",""10"",""0"",""0"",""10"",""0"",""10"",""0"",""10"",""0"",""0"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"A toddler is sitting on a blanket outdoors eating an apple.","[""0"",""10"",""0"",""10"",""0"",""0"",""10"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""0"",""5"",""10"",""10"",""0"",""0"",""10"",""10"",""0"",""0"",""10"",""10"",""10"",""0"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"Two giraffes standing on a dirt expanse with trees in background.","[""10"",""10"",""10"",""0"",""0"",""10"",""10"",""0"",""10"",""0"",""8""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"A teddy bear is sitting on the rail of a wire fence.","[""0"",""10"",""10"",""0"",""10"",""3"",""0"",""10"",""0"",""0"",""10"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"A tennis player makes a quick shuffle to return the ball.","[""0"",""10"",""10"",""0"",""0"",""5"",""10"",""0"",""4"",""0"",""2""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"Plates of food and two glasses of red wine are on a table.","[""10"",""0"",""10"",""0"",""8"",""10"",""0"",""10"",""10"",""1"",""0"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""0"",""7"",""10"",""10"",""4"",""10"",""10"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"A man holding a baby while standing in front of a mirror.","[""0"",""10"",""10"",""0"",""10"",""0"",""10"",""1"",""4"",""0"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
"A cat sitting on the hood of a parked black car in a garage.","[""0"",""10"",""10"",""4"",""0"",""10"",""0"",""0"",""10"",""10"",""10"",""3"",""0"",""10""]","html-vertical-slider-response","5ddee8912e6c77e798b5882f"
