"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""5"",""10"",""10"",""10"",""6"",""5"",""10"",""6"",""7"",""10"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"Two ceramic cups, one with a bird and the other with a fox.","[""10"",""10"",""10"",""3"",""3"",""3"",""10"",""3"",""3"",""3"",""3"",""3"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""10"",""10"",""3"",""8"",""2"",""2"",""10"",""7"",""10"",""5"",""10"",""4"",""10"",""5"",""10"",""6"",""6"",""10"",""4"",""10"",""5"",""5"",""4"",""5"",""10"",""10"",""6"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"A toddler is sitting on a blanket outdoors eating an apple.","[""4"",""10"",""5"",""10"",""4"",""5"",""10"",""10"",""10"",""3"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""3"",""0"",""10"",""10"",""10"",""3"",""10"",""3"",""3"",""3"",""10"",""10"",""10"",""6"",""6"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"Two giraffes standing on a dirt expanse with trees in background.","[""10"",""10"",""10"",""3"",""3"",""10"",""10"",""7"",""10"",""3"",""7""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"A teddy bear is sitting on the rail of a wire fence.","[""3"",""10"",""10"",""3"",""10"",""6"",""3"",""10"",""3"",""3"",""10"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"A tennis player makes a quick shuffle to return the ball.","[""3"",""10"",""10"",""3"",""3"",""8"",""8"",""3"",""3"",""3"",""-2""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"Plates of food and two glasses of red wine are on a table.","[""10"",""4"",""10"",""7"",""10"",""10"",""3"",""10"",""10"",""3"",""6"",""3"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""2"",""10"",""10"",""10"",""5"",""10"",""10"",""4"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"A man holding a baby while standing in front of a mirror.","[""2"",""10"",""10"",""3"",""10"",""2"",""9"",""2"",""3"",""3"",""2"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
"A cat sitting on the hood of a parked black car in a garage.","[""3"",""10"",""-2"",""3"",""3"",""10"",""3"",""3"",""10"",""10"",""10"",""2"",""2"",""10""]","html-vertical-slider-response","5a47b7be2f91ec0001dcbfee"
