"stimulus","response","trial_type","subject_id"
"An old man sitting on a bench in a public park.","[""-9"",""4"",""9"",""10"",""2"",""-8"",""10"",""-10"",""-7"",""4"",""8""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"Two ceramic cups, one with a bird and the other with a fox.","[""10"",""9"",""9"",""-8"",""-10"",""-4"",""10"",""3"",""-4"",""-3"",""-9"",""-4"",""8""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.","[""10"",""10"",""-5"",""5"",""-8"",""-10"",""4"",""-5"",""10"",""-6"",""8"",""-10"",""6"",""-3"",""10"",""2"",""-10"",""10"",""3"",""5"",""2"",""1"",""-5"",""1"",""10"",""6"",""-2"",""10""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"A toddler is sitting on a blanket outdoors eating an apple.","[""2"",""5"",""-2"",""2"",""4"",""2"",""10"",""10"",""10"",""-3"",""10""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"A young woman sitting on a curb next to a fire hydrant writing on a notepad.","[""-1"",""1"",""10"",""10"",""3"",""-1"",""10"",""2"",""-1"",""-1"",""5"",""10"",""10"",""3"",""-1"",""10""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"Two giraffes standing on a dirt expanse with trees in background.","[""9"",""10"",""5"",""-7"",""-9"",""9"",""7"",""2"",""10"",""-5"",""8""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"A teddy bear is sitting on the rail of a wire fence.","[""1"",""10"",""10"",""-2"",""10"",""8"",""-2"",""-3"",""-3"",""1"",""7"",""10""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"A tennis player makes a quick shuffle to return the ball.","[""-1"",""10"",""9"",""-5"",""-1"",""2"",""4"",""-1"",""-2"",""-3"",""-6""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"Plates of food and two glasses of red wine are on a table.","[""10"",""-2"",""5"",""2"",""10"",""10"",""-2"",""7"",""10"",""-2"",""1"",""-3"",""8""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"An empty clean kitchen with cabinetry, stove and dishwasher.","[""-2"",""1"",""7"",""10"",""-3"",""10"",""10"",""-2"",""10""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"A man holding a baby while standing in front of a mirror.","[""1"",""10"",""10"",""1"",""10"",""-1"",""10"",""2"",""1"",""-4"",""2"",""5""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
"A cat sitting on the hood of a parked black car in a garage.","[""2"",""10"",""-10"",""9"",""-2"",""10"",""-2"",""2"",""10"",""10"",""10"",""3"",""2"",""10""]","html-vertical-slider-response","61083cb859eec8a4bcdc0ccb"
